id,groups,number_of_messages,texts,text_ratio,midia,midia_ratio,virals,viral_ratio,repeated_messages,repeated_messages_ratio,days_active,daily_mean,daily_std,daily_median,daily_95,daily_outliers,daily_max,degree_centrality,strenght,viral_degree_centrality,viral_strenght,misinformation,misinformation_degree_centrality,misinformation_strenght,misinformation_ratio,viral_misinformation_ratio
-3818310068976662355,1,4396,3742,0.8512283894449499,654,0.14877161055505003,22,0.005004549590536852,609,0.1627471940138963,89,49.39325842696629,49.18185594337337,40.0,142.2,5,199,153,672588,153,3366,10,153,1530,0.0022747952684258415,0.45454545454545453
5782050016593913959,11,2332,972,0.41680960548885077,1360,0.5831903945111492,223,0.09562607204116638,363,0.3734567901234568,89,26.202247191011235,27.53228673892827,17.0,77.79999999999998,5,114,1710,498161,1631,47054,58,1506,11907,0.024871355060034305,0.2600896860986547
-2072140886659020977,3,2064,948,0.45930232558139533,1116,0.5406976744186046,227,0.10998062015503876,94,0.09915611814345991,118,17.491525423728813,25.752519008051078,6.0,71.7999999999999,6,122,534,391490,534,43406,85,534,15800,0.041182170542635656,0.3744493392070485
2839535797075678550,5,2020,1587,0.7856435643564357,433,0.21435643564356435,104,0.05148514851485148,258,0.16257088846880907,89,22.696629213483146,30.808943689064627,11.0,80.0,4,164,895,644390,895,26260,25,866,6179,0.012376237623762377,0.2403846153846154
170916900626840870,1,1810,828,0.4574585635359116,982,0.5425414364640884,96,0.05303867403314917,24,0.028985507246376812,65,27.846153846153847,27.293675302869378,24.0,71.6,4,135,153,276930,153,14688,69,153,10557,0.03812154696132597,0.71875
-6433788305811138375,1,1584,466,0.29419191919191917,1118,0.7058080808080808,165,0.10416666666666667,10,0.02145922746781116,89,17.797752808988765,17.62112612184133,14.0,52.0,4,76,153,242352,153,25245,117,153,17901,0.07386363636363637,0.7090909090909091
2136294720367550533,1,1271,388,0.30527143981117233,883,0.6947285601888277,106,0.08339889850511409,16,0.041237113402061855,77,16.506493506493506,16.019415339077707,12.0,49.80000000000001,4,61,202,256742,202,21412,59,202,11918,0.046420141620771044,0.5566037735849056
484315296795177283,1,1172,994,0.8481228668941979,178,0.15187713310580206,18,0.015358361774744027,185,0.18611670020120724,89,13.168539325842696,16.972059897383335,7.0,44.39999999999998,5,89,273,319956,273,4914,6,273,1638,0.005119453924914676,0.3333333333333333
8897177310380552629,1,1166,284,0.24356775300171526,882,0.7564322469982847,52,0.044596912521440824,4,0.014084507042253521,87,13.402298850574713,16.085859578361553,9.0,45.90000000000002,5,76,32,37312,32,1664,32,32,1024,0.0274442538593482,0.6153846153846154
3201344459315743060,1,1126,950,0.8436944937833037,176,0.15630550621669628,2,0.0017761989342806395,120,0.12631578947368421,69,16.318840579710145,28.827832116174278,3.0,69.99999999999997,4,147,273,307398,273,546,0,0,0,0.0,0.0
620937769575483159,8,1103,872,0.7905711695376246,231,0.20942883046237534,59,0.05349048050770626,177,0.2029816513761468,45,24.511111111111113,23.964578237494813,22.0,61.39999999999998,3,111,1418,177196,1002,9796,23,1002,3531,0.02085222121486854,0.3898305084745763
-7481691239712874829,1,1071,515,0.480859010270775,556,0.5191409897292251,119,0.1111111111111111,11,0.021359223300970873,89,12.03370786516854,14.468971062086812,7.0,36.19999999999999,5,61,153,163863,153,18207,83,153,12699,0.07749766573295985,0.6974789915966386
-4100792812416892756,1,1048,683,0.6517175572519084,365,0.3482824427480916,80,0.07633587786259542,33,0.048316251830161056,88,11.909090909090908,13.20278302570426,7.0,42.149999999999906,5,52,188,197024,188,15040,49,188,9212,0.046755725190839696,0.6125
-8623724588738162216,3,1020,279,0.2735294117647059,741,0.7264705882352941,174,0.17058823529411765,155,0.5555555555555556,80,12.75,15.500510404009608,5.0,48.05,4,58,782,261182,782,44858,100,782,25954,0.09803921568627451,0.5747126436781609
-7379073963651272087,1,1017,988,0.9714847590953786,29,0.028515240904621434,4,0.003933136676499509,144,0.145748987854251,98,10.377551020408163,26.85528814139152,0.0,67.44999999999997,5,175,273,277641,273,1092,2,273,546,0.0019665683382497543,0.5
-948137768871056857,1,968,501,0.5175619834710744,467,0.4824380165289256,65,0.06714876033057851,14,0.027944111776447105,43,22.511627906976745,23.909922320703174,14.0,66.8,3,76,153,148104,153,9945,31,153,4743,0.03202479338842975,0.47692307692307695
-9166534760459654877,8,964,640,0.6639004149377593,324,0.3360995850622407,564,0.5850622406639004,497,0.7765625,44,21.90909090909091,20.157309461724534,21.0,59.400000000000006,3,73,1260,169073,1260,96342,111,1260,18523,0.11514522821576763,0.19680851063829788
1586038897185087233,2,955,272,0.2848167539267016,683,0.7151832460732984,107,0.11204188481675392,61,0.22426470588235295,89,10.730337078651685,13.955093600011676,6.0,33.599999999999994,5,85,426,253248,426,24938,50,426,12232,0.05235602094240838,0.4672897196261682
-4365731339186281047,7,951,406,0.42691903259726605,545,0.573080967402734,258,0.27129337539432175,265,0.6527093596059114,88,10.806818181818182,14.53245116579108,7.0,39.29999999999998,5,80,1266,180079,1266,49716,135,1266,25971,0.14195583596214512,0.5232558139534884
-3545133711641780471,1,932,873,0.9366952789699571,59,0.06330472103004292,1,0.001072961373390558,110,0.12600229095074456,29,32.13793103448276,49.01000199516934,8.0,123.99999999999996,2,184,273,254436,273,273,0,0,0,0.0,0.0
2874173593665101888,1,924,671,0.7261904761904762,253,0.27380952380952384,79,0.0854978354978355,85,0.12667660208643816,69,13.391304347826088,40.398098889203844,0.0,77.19999999999996,4,294,273,252252,273,21567,19,273,5187,0.020562770562770564,0.24050632911392406
233292269833581788,1,894,547,0.6118568232662193,347,0.38814317673378074,10,0.011185682326621925,17,0.031078610603290677,81,11.037037037037036,12.91456972225986,6.0,37.0,4,59,153,136782,153,1530,7,153,1071,0.007829977628635347,0.7
5380364650481982264,1,893,412,0.46136618141097424,481,0.5386338185890257,81,0.09070548712206047,21,0.050970873786407765,80,11.1625,16.576973315530115,6.0,33.05,4,124,153,136629,153,12393,58,153,8874,0.06494960806270997,0.7160493827160493
2159995630555037546,1,890,426,0.4786516853932584,464,0.5213483146067416,31,0.0348314606741573,47,0.11032863849765258,54,16.48148148148148,15.753694673853785,14.0,45.69999999999999,3,58,302,268780,302,9362,20,302,6040,0.02247191011235955,0.6451612903225806
2878545449163323727,3,883,439,0.4971687429218573,444,0.5028312570781427,180,0.20385050962627407,177,0.4031890660592255,87,10.149425287356323,19.42698239600535,1.0,50.50000000000004,5,113,603,172068,603,33081,147,603,26559,0.1664779161947905,0.8166666666666667
-6390182476839371745,1,870,340,0.39080459770114945,530,0.6091954022988506,142,0.1632183908045977,79,0.2323529411764706,59,14.745762711864407,12.813776557551696,13.0,35.49999999999997,3,55,110,95700,110,15620,106,110,11660,0.12183908045977011,0.7464788732394366
4739644567595231353,1,855,634,0.7415204678362574,221,0.2584795321637427,34,0.03976608187134503,25,0.03943217665615142,81,10.555555555555555,14.902181048423753,3.0,41.0,4,67,153,130815,153,5202,23,153,3519,0.026900584795321637,0.6764705882352942
3064173603828817047,1,851,687,0.8072855464159812,164,0.1927144535840188,3,0.0035252643948296123,64,0.09315866084425037,89,9.561797752808989,13.548695891772097,4.0,42.19999999999996,5,66,153,130203,153,459,1,153,153,0.0011750881316098707,0.3333333333333333
-8794473161893440707,1,851,619,0.72737955346651,232,0.27262044653349,10,0.011750881316098707,85,0.13731825525040386,51,16.686274509803923,22.448599240111555,6.0,65.0,3,89,302,257002,302,3020,6,302,1812,0.007050528789659225,0.6
8424212194063834368,3,845,698,0.8260355029585799,147,0.1739644970414201,9,0.010650887573964497,66,0.09455587392550144,89,9.49438202247191,12.446360909834443,6.0,34.39999999999998,5,75,353,220727,270,2430,8,270,2160,0.009467455621301775,0.8888888888888888
7804617396683456024,1,821,737,0.8976857490864799,84,0.1023142509135201,12,0.014616321559074299,89,0.12075983717774763,31,26.483870967741936,36.54027090552919,10.0,104.0,2,137,273,224133,273,3276,1,273,273,0.001218026796589525,0.08333333333333333
3269957843968477325,1,806,523,0.6488833746898263,283,0.3511166253101737,13,0.016129032258064516,57,0.1089866156787763,89,9.0561797752809,10.799157743422104,6.0,30.599999999999994,5,51,273,220038,273,3549,3,273,819,0.0037220843672456576,0.23076923076923078
6644403590764964449,1,795,508,0.6389937106918239,287,0.3610062893081761,124,0.1559748427672956,36,0.07086614173228346,49,16.224489795918366,19.12923733682123,9.0,51.59999999999994,3,87,278,221010,278,34472,93,278,25854,0.1169811320754717,0.75
-6424679598502831767,1,794,721,0.9080604534005038,73,0.09193954659949623,8,0.010075566750629723,113,0.15672676837725383,81,9.802469135802468,13.159046083480389,6.0,36.0,4,77,306,242964,306,2448,7,306,2142,0.008816120906801008,0.875
5516114827698165584,1,772,649,0.8406735751295337,123,0.15932642487046633,18,0.023316062176165803,25,0.03852080123266564,78,9.897435897435898,29.23997874445802,0.0,31.199999999999932,4,195,188,145136,188,3384,11,188,2068,0.014248704663212436,0.6111111111111112
-5279744601013814267,1,769,500,0.6501950585175552,269,0.34980494148244473,12,0.015604681404421327,52,0.104,113,6.8053097345132745,13.02117671270784,0.0,28.39999999999999,6,65,270,207630,270,3240,4,270,1080,0.005201560468140442,0.3333333333333333
-8647104509290119229,2,761,259,0.3403416557161629,502,0.6596583442838371,59,0.07752956636005257,47,0.18146718146718147,37,20.56756756756757,18.845188806195104,16.0,54.99999999999998,2,72,634,235396,634,18316,14,308,4312,0.018396846254927726,0.23728813559322035
3319661316459229233,1,731,245,0.33515731874145005,486,0.66484268125855,41,0.0560875512995896,6,0.024489795918367346,119,6.142857142857143,9.46741576456215,2.0,25.0,5,68,25,18275,25,1025,25,25,625,0.03419972640218878,0.6097560975609756
