,id,subject,text,classificacao,date,retweets,favorites,permalink
0,1.124513050218893e+18,macaco marielle,Marielle >BANDIDOS Narco-traficantes-Milícias pisou na bola PCC >Mandante do crime #Brazão do PT #OrganizaçãoCriminosa Assassinada por THIAGO- MACACO Midia para de acusar quem destruiu a sonhada #GRANDEPATRIA @ECantanhede @CarvalhosaMo @CarlosBolsonaro @RenovMidia @roxmo @SITEFCS pic.twitter.com/8HTb0VVmj8,fake,2019-05-04 0:16,0,0,https://twitter.com/MRTT_/status/1124513050218893312
1,1.1240493710064763e+18,macaco marielle,"Bem, as últimas noticias a respeito disso que o verdadeiro assassino de Marielle não é aqueles acusados senão um elemento de codinome  Macaco "". Ou seja, não colou a relação Bolsonaro x Marielle . Reveja suas fontes.""",fake,2019-05-02 17:33,0,0,https://twitter.com/EvaristoKlebber/status/1124049371006476293
5,1.1192950292043981e+18,macaco marielle,@jornalnacional convivi com notícias da Marielle durante 3 meses quase todos os dias. Porque pararam as reportagens? Só porque se descobriu que seu matador foi Thiago macaco ? Negro favelado e ligado ao tráfico? Bonemer vc é o supra sumo do ridículo .,fake,2019-04-19 14:41,0,0,https://twitter.com/luiztemper/status/1119295029204398080
10,1.1145825456252273e+18,macaco marielle,"O Cesari Battisti confessou seus crimes, a esquerda calou; o assassino de MARIELLE foi descoberto, a esquerda se calou e agora o Luladrão confessou, a esquerda meteu a língua onde o macaco meu o caju. Demagogos, hipocritas e fariseus",fake,2019-04-06 14:36,0,0,https://twitter.com/GrimoaldoL/status/1114582545625227333
11,1.1132459115918623e+18,macaco marielle,[Agência Lupa] Verificamos: É falso que Thiago Macaco foi identificado como assassino de Marielle https:// piaui.folha.uol.com.br/lupa/2019/04/0 1/verificamos-marielle-preso-thiago/ …,true,2019-04-02 22:04,1,0,https://twitter.com/antmarobel/status/1113245911591862272
12,1.1132093046671072e+18,macaco marielle,NO AR. Thiago Macaco não é acusado pela polícia de assassinar Marielle . https:// aosfatos.org/noticias/thiag o-macaco-nao-e-acusado-pela-policia-de-assassinar-marielle/ … pic.twitter.com/RucmWUvSoT,true,2019-04-02 19:39,10,16,https://twitter.com/aosfatos/status/1113209304667107329
14,1.1120133406861434e+18,macaco marielle,"Já descobriram quem mandou? A quem a Marielle incomodava, afinal? Desde sempre se soube da ligação entre o tráfico e as milícias. Estão dando agora uma de ingênuos? A notícia do thiago macaco já é antiga.",true,2019-03-30 12:26,2,2,https://twitter.com/Zapata_Taco/status/1112013340686143488
15,1.1116401680989184e+18,macaco marielle,Thiago Macaco é preso por envolvimento com a morte de Marielle - Brasil - iG https:// ultimosegundo.ig.com.br/brasil/2018-05 -30/marielle-franco-thiago-macaco.html …,fake,2019-03-29 11:44,3,3,https://twitter.com/pmmvander/status/1111640168098918400
16,1.111561080797569e+18,macaco marielle,"Vamos falar de Marielle ? Parou de falar dela porque? Por que Thiago Macaco do partido vermelho, preto, pobre, traficante confessou? Vc é muito cafageste Boulos! https:// twitter.com/GuilhermeBoulo s/status/1111372441551433728 …",fake,2019-03-29 6:29,2,4,https://twitter.com/EgeuJunior/status/1111561080797569024
28,1.0781270796050473e+18,macaco marielle,"Assassino bolsonarista é boa hahahahahaha Quanto a morte da tal Marielle , O Thiago Macaco (negro e pobre) ta preso. A Marielle foi morta pelos mesmos assassinos que o PSOL costuma defender.",fake,2018-12-27 0:15,0,0,https://twitter.com/HubnerLobo/status/1078127079605047296
